,movie,years,timeMin,imdb,metascore,votes,us_grossMillions
0,Knives Out,(2019),130 min,7.9,82        ,"372,357",$165.36M
1,The Peanut Butter Falcon,(2019),97 min,7.6,70        ,"49,397",$13.12M
2,Hamilton,(2020),160 min,8.8,90        ,-,-
3,Inception,(2010),148 min,8.8,74        ,"1,998,127",$292.58M
4,Joker,(2019),122 min,8.5,59        ,"848,029",$335.45M
5,Jojo Rabbit,(2019),108 min,7.9,58        ,"250,673",$0.35M
6,The Godfather,(1972),175 min,9.2,100        ,"1,570,310",$134.97M
7,Once Upon a Time... In Hollywood,(2019),161 min,7.6,83        ,"504,144",$142.50M
8,The Gentlemen,(2019),113 min,7.9,51        ,-,-
9,Dil Bechara,(2020),101 min,8.9,-,-,-
10,Parasite,(2019),132 min,8.6,96        ,"466,270",$53.37M
11,Avengers: Endgame,(2019),181 min,8.4,78        ,"751,419",$858.37M
12,Interstellar,(2014),169 min,8.6,74        ,"1,445,400",$188.02M
13,Jurassic Park,(1993),127 min,8.1,68        ,"844,694",$402.45M
14,The Shawshank Redemption,(1994),142 min,9.3,80        ,"2,275,990",$28.34M
15,Harry Potter and the Sorcerer's Stone,(2001),152 min,7.6,64        ,"624,181",$317.58M
16,1917,(2019),119 min,8.3,78        ,"359,545",$159.23M
17,The Wolf of Wall Street,(2013),180 min,8.2,75        ,"1,139,517",$116.90M
18,The Dark Knight,(2008),152 min,9.0,84        ,"2,238,155",$534.86M
19,Ford v Ferrari,(2019),152 min,8.1,81        ,"249,288",$117.62M
20,Little Women,(2019),135 min,7.8,91        ,"121,178",$108.10M
21,The Godfather: Part II,(1974),202 min,9.0,90        ,"1,097,172",$57.30M
22,Inglourious Basterds,(2009),153 min,8.3,69        ,"1,228,181",$120.54M
23,Guardians of the Galaxy,(2014),121 min,8.0,76        ,"1,022,285",$333.18M
24,Goodfellas,(1990),146 min,8.7,90        ,"990,071",$46.84M
25,Pulp Fiction,(1994),154 min,8.9,94        ,"1,778,044",$107.93M
26,The Matrix,(1999),136 min,8.7,73        ,"1,630,207",$171.48M
27,Gladiator,(2000),155 min,8.5,67        ,"1,306,599",$187.71M
28,The Silence of the Lambs,(1991),118 min,8.6,85        ,"1,232,454",$130.74M
29,The Shining,(1980),146 min,8.4,66        ,"868,153",$44.02M
30,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.8,92        ,"1,618,205",$315.54M
31,Mad Max: Fury Road,(2015),120 min,8.1,90        ,"855,318",$154.06M
32,Pride & Prejudice,(2005),129 min,7.8,82        ,"247,244",$38.41M
33,The Prestige,(2006),130 min,8.5,66        ,"1,153,409",$53.09M
34,The Dark Knight Rises,(2012),164 min,8.4,78        ,"1,478,540",$448.14M
35,The Irishman,(2019),209 min,7.9,94        ,"303,414",$7.00M
36,Titanic,(1997),194 min,7.8,75        ,"1,022,294",$659.33M
37,Django Unchained,(2012),165 min,8.4,81        ,"1,316,037",$162.81M
38,The Green Mile,(1999),189 min,8.6,61        ,"1,110,889",$136.80M
39,Fight Club,(1999),139 min,8.8,66        ,"1,805,265",$37.03M
40,Guardians of the Galaxy Vol. 2,(2017),136 min,7.6,67        ,"549,143",$389.81M
41,Dunkirk,(2017),106 min,7.9,94        ,"529,010",$188.37M
42,Apocalypse Now,(1979),147 min,8.4,94        ,"590,510",$83.47M
43,Back to the Future,(1985),116 min,8.5,87        ,"1,025,924",$210.61M
44,The Goonies,(1985),114 min,7.8,62        ,"236,650",$61.50M
45,Blade Runner 2049,(2017),164 min,8.0,81        ,"440,022",$92.05M
46,Nightcrawler,(2014),117 min,7.9,76        ,"448,123",$32.38M
47,Moana,(I) (2016),107 min,7.6,81        ,"260,340",$248.76M
48,No Country for Old Men,(2007),122 min,8.1,91        ,"830,381",$74.28M
49,Tombstone,(1993),130 min,7.8,50        ,"123,017",$56.51M
